TestName,AMDRyzen5800x-mean_time,AMDRyzen5800x-SEM,AMDRyzen5800XCO-mean_time,AMDRyzen5800XCO-SEM,AMDTurin-mean_time,AMDTurin-SEM,AMDTurinCO-mean_time,AMDTurinCO-SEM,ARM4-mean_time,ARM4-SEM,ARM4CO-mean_time,ARM4CO-SEM,ARM1-mean_time,ARM1-SEM,ARM1CO-mean_time,ARM1CO-SEM,IntelXeon-mean_time,IntelXeon-SEM,IntelXeonCO-mean_time,IntelXeonCO-SEM
Test4/gfortran_o3.x,7.02000,0.02592,6.94500,0.02525,5.40800,0.00490,5.41600,0.00549,7.06500,0.01841,7.05800,0.02067,12.20300,0.13712,12.53000,0.41026,6.57200,0.01432,6.58500,0.01389
Test4/flang.x,0.00000,0.00000,0.00000,0.00000,5.39700,0.00421,5.40200,0.00320,7.05300,0.07585,6.14400,0.03146,0.00000,0.00000,0.00000,0.00000,6.52400,0.01197,6.53600,0.01058
Test4/flang_o3.x,0.00000,0.00000,0.00000,0.00000,5.40200,0.00347,5.40700,0.00477,6.94500,0.05784,6.14200,0.01699,0.00000,0.00000,0.00000,0.00000,6.50700,0.01112,6.54400,0.02155
Test4/ifx.x,7.32500,0.32892,4.02500,0.18428,5.41500,0.00599,1.99300,0.01661,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,6.59700,0.01441,4.63600,0.01504
Test4/ifx_o3.x,7.10000,0.13301,4.30000,0.22702,5.42000,0.00887,2.01000,0.02013,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,6.57100,0.01772,4.60200,0.01183
Test4/gpp.x,6.98900,0.02162,7.27900,0.03818,32.31200,0.01224,27.00600,0.01480,6.69700,0.05948,6.32300,0.03335,12.52800,0.10061,11.80200,0.17150,18.77600,0.01991,18.71000,0.00755
Test4/gpp_o3.x,6.99900,0.01849,6.99100,0.02735,18.91000,0.00996,8.09000,0.00471,6.57900,0.04919,6.17400,0.05037,12.22100,0.10935,10.80700,0.17347,12.40800,0.02068,9.54100,0.01672
Test4/icx.x,4.47300,0.02731,4.07300,0.04691,1.90100,0.02053,1.98600,0.02588,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,5.27400,0.02120,4.63900,0.01821
Test4/icx_o3.x,4.37200,0.02997,4.12700,0.05115,1.88000,0.02517,1.93300,0.02845,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,5.25800,0.01596,4.63100,0.01168
Test4/clang.x,0.00000,0.00000,0.00000,0.00000,5.39900,0.00377,5.41100,0.00423,6.32100,0.01816,6.36100,0.01891,0.00000,0.00000,0.00000,0.00000,6.50500,0.01058,6.58000,0.01452
Test4/clang_o3.x,0.00000,0.00000,0.00000,0.00000,5.40700,0.00592,5.40600,0.00265,6.33800,0.02423,6.22300,0.03947,0.00000,0.00000,0.00000,0.00000,6.51500,0.01239,6.56000,0.01030
Test5/gfortran.x,6.97600,0.01529,6.99700,0.02581,5.41100,0.00409,5.41000,0.00372,7.29800,0.07485,7.09500,0.03165,12.19400,0.14726,11.16300,0.11283,6.62900,0.01447,6.57900,0.01445
Test5/gfortran_o3.x,7.00500,0.02384,6.94300,0.03193,5.41200,0.00632,5.40600,0.00446,7.51800,0.07441,7.10400,0.02187,12.31900,0.12346,11.40800,0.12585,6.56700,0.01482,6.57100,0.01522
Test5/flang.x,0.00000,0.00000,0.00000,0.00000,5.39700,0.00346,5.41800,0.00478,6.60400,0.07855,6.14200,0.03271,0.00000,0.00000,0.00000,0.00000,6.53300,0.00988,6.50600,0.01291
Test5/flang_o3.x,0.00000,0.00000,0.00000,0.00000,5.42300,0.00415,5.42300,0.00614,6.46000,0.04729,6.23100,0.01341,0.00000,0.00000,0.00000,0.00000,6.52800,0.01162,6.51700,0.01328
Test5/ifx.x,6.85000,0.10470,3.85000,0.16622,5.42200,0.00716,1.94600,0.02019,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,6.52800,0.01070,4.57400,0.01452
Test5/ifx_o3.x,7.00000,0.17903,3.90000,0.13775,5.42300,0.00398,2.00700,0.01987,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,6.57300,0.01406,4.56500,0.01406
Test5/gpp.x,7.10400,0.03869,7.24800,0.03674,32.37400,0.01865,26.96700,0.01182,6.29700,0.02021,6.19000,0.05196,12.67400,0.12847,11.15300,0.12219,18.76800,0.00740,18.75500,0.01800
Test5/gpp_o3.x,7.08100,0.03571,7.03900,0.03648,18.94400,0.01466,8.08600,0.00588,6.27800,0.02721,6.33800,0.01960,12.79500,0.11549,11.10400,0.11303,12.36600,0.01685,9.57800,0.01245
Test5/icx.x,4.85400,0.10070,4.16700,0.05436,1.88200,0.01864,2.03400,0.02253,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,5.26500,0.01700,4.61700,0.01939
Test5/icx_o3.x,4.71100,0.08341,4.18300,0.04819,1.91600,0.03258,1.90800,0.02743,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,5.27300,0.01835,4.61500,0.01351
Test5/clang.x,0.00000,0.00000,0.00000,0.00000,5.42500,0.00447,5.40300,0.00389,6.25500,0.02306,6.24400,0.04541,0.00000,0.00000,0.00000,0.00000,6.50400,0.00925,6.55600,0.01312
Test5/clang_o3.x,0.00000,0.00000,0.00000,0.00000,5.42500,0.00556,5.41200,0.00510,6.34400,0.03315,6.21900,0.01425,0.00000,0.00000,0.00000,0.00000,6.53100,0.01269,6.58300,0.01283
Test6/gfortran.x,7.18800,0.06550,7.07000,0.03463,5.44200,0.00694,5.40300,0.00561,7.70400,0.07278,7.02500,0.04624,12.01300,0.09934,11.05600,0.14277,6.61600,0.01825,6.60500,0.01487
Test6/gfortran_o3.x,7.15200,0.05988,6.93900,0.02665,5.42400,0.00585,5.40300,0.00422,7.74700,0.08311,6.97900,0.03558,12.08100,0.09122,11.18900,0.12111,6.55600,0.01466,6.59600,0.01709
Test6/flang.x,0.00000,0.00000,0.00000,0.00000,5.42600,0.00613,5.43000,0.00437,6.35400,0.02683,6.26600,0.04293,0.00000,0.00000,0.00000,0.00000,6.53800,0.01374,6.53000,0.01543
Test6/flang_o3.x,0.00000,0.00000,0.00000,0.00000,5.42000,0.00483,5.42400,0.00589,6.12300,0.04323,6.11300,0.03489,0.00000,0.00000,0.00000,0.00000,6.54000,0.01386,6.55800,0.02614
Test6/ifx.x,6.50000,0.19282,3.92500,0.15354,5.43600,0.00999,1.97000,0.01483,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,6.54700,0.01542,4.59600,0.01496
Test6/ifx_o3.x,5.97500,0.29196,4.45000,0.28633,5.43300,0.01026,1.96700,0.02126,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,6.58100,0.01467,4.59300,0.01419
Test6/gpp.x,7.29000,0.04924,7.29500,0.03909,32.44900,0.01471,26.96300,0.01160,6.33400,0.02217,6.32400,0.01434,12.55900,0.10147,11.32600,0.13102,18.77200,0.00732,18.74700,0.01283
